,latent_dims,shatter_dims,train_size,context_seed,data_seed,type,acc
0,10,1,2000,2,1,train,1.0
1,10,1,2000,2,1,val,0.8736666666666667
2,10,1,2000,2,1,comparison,0.8295833333333333
