train_loss,train_acc,epoch,step,val_loss,val_acc
0.6738271713256836,0.5192307829856873,0,7,,
,,0,7,0.6334516406059265,0.6470833420753479
0.5803873538970947,0.7307692170143127,1,15,,
,,1,15,0.6108173131942749,0.6544166803359985
0.5603601932525635,0.7019230723381042,2,23,,
,,2,23,0.5951088070869446,0.6800833344459534
0.5337855815887451,0.7403846383094788,3,31,,
,,3,31,0.5840340852737427,0.6823333501815796
0.527741551399231,0.7788461446762085,4,39,,
,,4,39,0.5731512904167175,0.6939166784286499
0.4880303144454956,0.7788461446762085,5,47,,
,,5,47,0.5659058690071106,0.7065833210945129
0.4600259065628052,0.8461538553237915,6,55,,
,,6,55,0.5593844652175903,0.7152500152587891
0.4748528301715851,0.8365384340286255,7,63,,
,,7,63,0.5541037321090698,0.7241666913032532
0.49764639139175415,0.7788461446762085,8,71,,
,,8,71,0.5500097870826721,0.7348333597183228
0.42509475350379944,0.8461538553237915,9,79,,
,,9,79,0.5431676506996155,0.731333315372467
0.4287202060222626,0.817307710647583,10,87,,
,,10,87,0.5423035621643066,0.7377499938011169
0.37305304408073425,0.9038461446762085,11,95,,
,,11,95,0.5373953580856323,0.7289166450500488
0.39995113015174866,0.8653846383094788,12,103,,
,,12,103,0.5290759205818176,0.7357500195503235
0.3811497986316681,0.8942307829856873,13,111,,
,,13,111,0.5254451632499695,0.7438333630561829
0.3818231225013733,0.8557692170143127,14,119,,
,,14,119,0.5241890549659729,0.7464166879653931
0.3955281376838684,0.8846153616905212,15,127,,
,,15,127,0.521592915058136,0.7412499785423279
0.3457951843738556,0.8846153616905212,16,135,,
,,16,135,0.5172471404075623,0.7484999895095825
0.3228995203971863,0.9038461446762085,17,143,,
,,17,143,0.5156748294830322,0.7473333477973938
0.30728405714035034,0.932692289352417,18,151,,
,,18,151,0.5148810744285583,0.7450000047683716
0.3669913113117218,0.8557692170143127,19,159,,
,,19,159,0.5138068199157715,0.7487499713897705
0.3515642583370209,0.8846153616905212,20,167,,
,,20,167,0.507826030254364,0.7515000104904175
0.3137528598308563,0.9230769276618958,21,175,,
,,21,175,0.5066390633583069,0.7523333430290222
0.32596808671951294,0.942307710647583,22,183,,
,,22,183,0.5066953301429749,0.7522500157356262
0.2946898639202118,0.942307710647583,23,191,,
,,23,191,0.5019989609718323,0.7559999823570251
0.35373276472091675,0.8557692170143127,24,199,,
,,24,199,0.5009750723838806,0.7584166526794434
0.29287558794021606,0.942307710647583,25,207,,
,,25,207,0.49963921308517456,0.7580833435058594
0.277002215385437,0.942307710647583,26,215,,
,,26,215,0.5004281997680664,0.7578333616256714
0.2717844545841217,0.9711538553237915,27,223,,
,,27,223,0.49886173009872437,0.7563333511352539
0.2548644244670868,0.9615384340286255,28,231,,
,,28,231,0.4980373978614807,0.7575833201408386
0.25785690546035767,0.9711538553237915,29,239,,
,,29,239,0.4975224733352661,0.7564166784286499
0.28701066970825195,0.9230769276618958,30,247,,
,,30,247,0.4959469437599182,0.7578333616256714
0.2548010051250458,0.9615384340286255,31,255,,
,,31,255,0.49347200989723206,0.7609166502952576
0.2882551848888397,0.9134615659713745,32,263,,
,,32,263,0.4919542372226715,0.7615833282470703
0.23993341624736786,0.932692289352417,33,271,,
,,33,271,0.49214547872543335,0.7614166736602783
0.2566526532173157,0.9230769276618958,34,279,,
,,34,279,0.4890301823616028,0.7620000243186951
0.23516570031642914,0.942307710647583,35,287,,
,,35,287,0.48977401852607727,0.7627500295639038
0.2874681353569031,0.9230769276618958,36,295,,
,,36,295,0.4890148639678955,0.7621666789054871
0.3234447240829468,0.9038461446762085,37,303,,
,,37,303,0.48816362023353577,0.7645000219345093
0.2516755163669586,0.9615384340286255,38,311,,
,,38,311,0.4875635504722595,0.7644166946411133
0.2707975208759308,0.9134615659713745,39,319,,
,,39,319,0.48752808570861816,0.7645833492279053
