,norm,n_train,n_val,n_supp,train_acc,val_acc,radius
0,0.0,0,0,0,0.0,0.0,0.0
1,0.0,0,1,0,0.0,0.0,0.0
2,0.0,0,0,0,0.0,0.0,0.0
3,0.0,0,1,0,0.0,0.0,0.0
4,0.0,0,0,0,0.0,0.0,0.0
5,0.0,0,0,0,0.0,0.0,0.0
6,0.0,0,0,0,0.0,0.0,0.0
7,0.0,0,0,0,0.0,0.0,0.0
8,0.0,0,0,0,0.0,0.0,0.0
9,0.0,0,0,0,0.0,0.0,0.0
10,0.0,0,0,0,0.0,0.0,0.0
11,0.0,0,0,0,0.0,0.0,0.0
12,0.0,0,0,0,0.0,0.0,0.0
13,0.0,0,1,0,0.0,0.0,0.0
14,0.0,0,0,0,0.0,0.0,0.0
15,0.0,0,1,0,0.0,0.0,0.0
16,0.0,0,0,0,0.0,0.0,0.0
17,0.0,0,0,0,0.0,0.0,0.0
18,0.0,0,0,0,0.0,0.0,0.0
19,0.0,0,0,0,0.0,0.0,0.0
20,0.0,0,0,0,0.0,0.0,0.0
21,0.0,0,0,0,0.0,0.0,0.0
22,0.0,0,0,0,0.0,0.0,0.0
23,0.0,0,0,0,0.0,0.0,0.0
24,0.0,0,0,0,0.0,0.0,0.0
25,0.0,0,0,0,0.0,0.0,0.0
26,0.0,0,0,0,0.0,0.0,0.0
27,0.0,0,0,0,0.0,0.0,0.0
28,0.0,0,0,0,0.0,0.0,0.0
29,0.0,0,0,0,0.0,0.0,0.0
30,0.0,0,0,0,0.0,0.0,0.0
31,0.0,0,0,0,0.0,0.0,0.0
32,0.0,0,0,0,0.0,0.0,0.0
33,0.1535977481332984,4,29,4,4.0,23.0,12.202865564095426
34,0.0,0,1,0,0.0,0.0,0.0
35,0.037452908472850086,1,27,1,1.0,14.0,0.0
36,0.0,0,0,0,0.0,0.0,0.0
37,0.03782744616721819,1,78,1,1.0,47.0,0.0
38,0.0,0,0,0,0.0,0.0,0.0
39,0.31696745174359947,11,77,11,11.0,57.0,14.564168411843484
40,0.0,0,0,0,0.0,0.0,0.0
41,0.45887498443862906,28,371,20,28.0,294.0,12.93983300907184
42,0.0,0,0,0,0.0,0.0,0.0
43,0.30524460452205926,31,362,16,31.0,323.0,14.006898922761936
44,0.0,0,0,0,0.0,0.0,0.0
45,0.45784193374202514,35,524,23,35.0,407.0,13.937996636664229
46,0.0,0,0,0,0.0,0.0,0.0
47,0.5001294947363919,64,754,31,64.0,647.0,14.708399755873597
48,0.0,0,0,0,0.0,0.0,0.0
49,0.0,0,3,0,0.0,0.0,0.0
50,0.0,0,0,0,0.0,0.0,0.0
51,0.0,0,1,0,0.0,0.0,0.0
52,0.0,0,0,0,0.0,0.0,0.0
53,0.0,0,9,0,0.0,0.0,0.0
54,0.0,0,0,0,0.0,0.0,0.0
55,0.0,0,1,0,0.0,0.0,0.0
56,0.0,0,0,0,0.0,0.0,0.0
57,0.039813449006154106,2,13,2,2.0,10.0,9.477162540175009
58,0.0,0,0,0,0.0,0.0,0.0
59,0.0,0,6,0,0.0,0.0,0.0
60,0.0,0,0,0,0.0,0.0,0.0
61,0.03697268691383266,1,28,1,1.0,16.0,0.0
62,0.0,0,0,0,0.0,0.0,0.0
63,0.0,0,12,0,0.0,0.0,0.0
64,0.0,0,0,0,0.0,0.0,0.0
65,0.0,0,0,0,0.0,0.0,0.0
66,0.0,0,0,0,0.0,0.0,0.0
67,0.0,0,0,0,0.0,0.0,0.0
68,0.0,0,0,0,0.0,0.0,0.0
69,0.0,0,0,0,0.0,0.0,0.0
70,0.0,0,0,0,0.0,0.0,0.0
71,0.0,0,3,0,0.0,0.0,0.0
72,0.0,0,0,0,0.0,0.0,0.0
73,0.03762832063575528,1,0,1,1.0,0.0,0.0
74,0.0,0,0,0,0.0,0.0,0.0
75,0.0,0,2,0,0.0,0.0,0.0
76,0.0,0,0,0,0.0,0.0,0.0
77,0.0,0,1,0,0.0,0.0,0.0
78,0.0,0,0,0,0.0,0.0,0.0
79,0.0,0,1,0,0.0,0.0,0.0
80,0.0,0,0,0,0.0,0.0,0.0
81,0.0,0,0,0,0.0,0.0,0.0
82,0.0,0,0,0,0.0,0.0,0.0
83,0.0,0,0,0,0.0,0.0,0.0
84,0.0,0,0,0,0.0,0.0,0.0
85,0.0,0,0,0,0.0,0.0,0.0
86,0.0,0,0,0,0.0,0.0,0.0
87,0.0,0,0,0,0.0,0.0,0.0
88,0.0,0,0,0,0.0,0.0,0.0
89,0.0,0,0,0,0.0,0.0,0.0
90,0.0,0,0,0,0.0,0.0,0.0
91,0.0,0,0,0,0.0,0.0,0.0
92,0.0,0,0,0,0.0,0.0,0.0
93,0.0,0,0,0,0.0,0.0,0.0
94,0.0,0,0,0,0.0,0.0,0.0
95,0.0,0,0,0,0.0,0.0,0.0
96,0.0,0,1,0,0.0,0.0,0.0
97,0.1609391491506271,5,60,5,5.0,50.0,12.22483287941433
98,0.0,0,0,0,0.0,0.0,0.0
99,0.0,0,37,0,0.0,0.0,0.0
100,0.0,0,0,0,0.0,0.0,0.0
101,0.27800969416092214,18,144,15,18.0,120.0,14.990779020863712
102,0.0,0,0,0,0.0,0.0,0.0
103,0.2670006685110858,15,162,13,15.0,135.0,14.122244040013701
104,0.0,0,0,0,0.0,0.0,0.0
105,0.537081221019829,45,591,33,45.0,485.0,14.527219107268765
106,0.0,0,0,0,0.0,0.0,0.0
107,0.27094959273187463,20,236,12,20.0,197.0,14.174830325096504
108,0.0,0,0,0,0.0,0.0,0.0
109,0.7696898310325301,58,519,40,58.0,378.0,15.885255317865344
110,0.03684303295431757,1,0,1,1.0,0.0,0.0
111,0.4725599122594518,44,502,32,44.0,403.0,15.777851806593494
112,0.0,0,0,0,0.0,0.0,0.0
113,0.0,0,7,0,0.0,0.0,0.0
114,0.0,0,0,0,0.0,0.0,0.0
115,0.0,0,2,0,0.0,0.0,0.0
116,0.0,0,0,0,0.0,0.0,0.0
117,0.0,0,6,0,0.0,0.0,0.0
118,0.0,0,0,0,0.0,0.0,0.0
119,0.0,0,5,0,0.0,0.0,0.0
120,0.0,0,0,0,0.0,0.0,0.0
121,0.03703967189438652,1,26,1,1.0,15.0,0.0
122,0.0,0,0,0,0.0,0.0,0.0
123,0.03733557799522289,1,4,1,1.0,4.0,0.0
124,0.0,0,0,0,0.0,0.0,0.0
125,0.03835405668145794,2,37,2,2.0,22.0,6.5599545182861085
126,0.0,0,0,0,0.0,0.0,0.0
127,0.03715317557210944,1,15,1,1.0,9.0,0.0
128,0.0,0,0,0,0.0,0.0,0.0
129,0.0,0,0,0,0.0,0.0,0.0
130,0.0,0,0,0,0.0,0.0,0.0
131,0.0,0,0,0,0.0,0.0,0.0
132,0.0,0,0,0,0.0,0.0,0.0
133,0.0,0,0,0,0.0,0.0,0.0
134,0.0,0,0,0,0.0,0.0,0.0
135,0.0,0,10,0,0.0,0.0,0.0
136,0.0,0,0,0,0.0,0.0,0.0
137,0.0,0,0,0,0.0,0.0,0.0
138,0.0,0,0,0,0.0,0.0,0.0
139,0.0,0,0,0,0.0,0.0,0.0
140,0.0,0,0,0,0.0,0.0,0.0
141,0.0,0,0,0,0.0,0.0,0.0
142,0.0,0,0,0,0.0,0.0,0.0
143,0.0,0,2,0,0.0,0.0,0.0
144,0.0,0,0,0,0.0,0.0,0.0
145,0.0,0,0,0,0.0,0.0,0.0
146,0.0,0,0,0,0.0,0.0,0.0
147,0.0,0,0,0,0.0,0.0,0.0
148,0.0,0,0,0,0.0,0.0,0.0
149,0.0,0,0,0,0.0,0.0,0.0
150,0.0,0,0,0,0.0,0.0,0.0
