train_loss,train_acc,epoch,step,val_loss,val_acc
0.47067371010780334,0.75,0,15,,
,,0,15,0.531002402305603,0.7573333382606506
0.3780013918876648,0.8374999761581421,1,31,,
,,1,31,0.5286346077919006,0.7758333086967468
0.3409532904624939,0.8125,2,47,,
,,2,47,0.4163239002227783,0.8195833563804626
0.29159098863601685,0.887499988079071,3,63,,
,,3,63,0.44240400195121765,0.8152499794960022
0.3233843147754669,0.8500000238418579,4,79,,
,,4,79,0.42728984355926514,0.8183333277702332
0.29174381494522095,0.875,5,95,,
,,5,95,0.5018600821495056,0.7819166779518127
0.27257198095321655,0.887499988079071,6,111,,
,,6,111,0.3938400447368622,0.8345833420753479
0.3011706471443176,0.8500000238418579,7,127,,
,,7,127,0.4014527201652527,0.8299999833106995
0.3280476927757263,0.875,8,143,,
,,8,143,0.41918033361434937,0.8300833106040955
0.28038662672042847,0.8500000238418579,9,159,,
,,9,159,0.4361504316329956,0.8152499794960022
0.24303798377513885,0.9375,10,175,,
,,10,175,0.44699105620384216,0.815833330154419
0.21111392974853516,0.9125000238418579,11,191,,
,,11,191,0.4554806649684906,0.8272500038146973
0.37437623739242554,0.862500011920929,12,207,,
,,12,207,0.4516356885433197,0.8245833516120911
0.2672554850578308,0.8999999761581421,13,223,,
,,13,223,0.4953053891658783,0.8216666579246521
0.28241097927093506,0.9125000238418579,14,239,,
,,14,239,0.42260298132896423,0.8332499861717224
0.28145408630371094,0.875,15,255,,
,,15,255,0.40973222255706787,0.8377500176429749
0.1710265576839447,0.925000011920929,16,271,,
,,16,271,0.47107410430908203,0.8198333382606506
0.2331114560365677,0.8999999761581421,17,287,,
,,17,287,0.42232441902160645,0.8363333344459534
0.2972247302532196,0.875,18,303,,
,,18,303,0.4377653896808624,0.8345000147819519
0.25515100359916687,0.875,19,319,,
,,19,319,0.44677379727363586,0.8219166398048401
0.15772363543510437,0.949999988079071,20,335,,
,,20,335,0.42288142442703247,0.8330833315849304
0.24972137808799744,0.8999999761581421,21,351,,
,,21,351,0.4418864846229553,0.8244166374206543
0.21961280703544617,0.8999999761581421,22,367,,
,,22,367,0.4683748483657837,0.8143333196640015
0.1561032086610794,0.925000011920929,23,383,,
,,23,383,0.41393205523490906,0.8393333554267883
0.3234550654888153,0.862500011920929,24,399,,
