train_loss,train_acc,epoch,step,val_loss,val_acc
0.6602340936660767,0.5769230723381042,0,7,,
,,0,7,0.6702169179916382,0.5659999847412109
0.35270726680755615,0.9519230723381042,1,15,,
,,1,15,0.6692647933959961,0.5766666531562805
0.1955289989709854,0.9807692170143127,2,23,,
,,2,23,0.6905732154846191,0.5771666765213013
0.15376611053943634,0.9711538553237915,3,31,,
,,3,31,0.713905930519104,0.5774999856948853
0.11755988001823425,1.0,4,39,,
,,4,39,0.7338007688522339,0.578416645526886
0.11860139667987823,1.0,5,47,,
,,5,47,0.7464292049407959,0.5791666507720947
0.07913895696401596,0.9903846383094788,6,55,,
,,6,55,0.7550334334373474,0.5793333053588867
0.07038276642560959,1.0,7,63,,
,,7,63,0.7649408578872681,0.5792499780654907
0.07590042799711227,0.9903846383094788,8,71,,
,,8,71,0.7718554735183716,0.5799999833106995
0.06653457880020142,0.9903846383094788,9,79,,
,,9,79,0.7784070372581482,0.5796666741371155
0.05435195192694664,1.0,10,87,,
,,10,87,0.7838769555091858,0.5801666378974915
0.049169983714818954,1.0,11,95,,
,,11,95,0.7898114323616028,0.5800833106040955
0.04660177230834961,0.9903846383094788,12,103,,
,,12,103,0.7941288948059082,0.5801666378974915
0.0469014048576355,0.9903846383094788,13,111,,
,,13,111,0.798551619052887,0.5796666741371155
0.03705193102359772,1.0,14,119,,
,,14,119,0.8037786483764648,0.5795833468437195
0.03136676549911499,1.0,15,127,,
,,15,127,0.8069916367530823,0.5797500014305115
0.04153144359588623,0.9903846383094788,16,135,,
,,16,135,0.8104016184806824,0.5801666378974915
0.036633145064115524,1.0,17,143,,
,,17,143,0.8142704963684082,0.5804166793823242
0.03532838448882103,1.0,18,151,,
,,18,151,0.8178907036781311,0.5804166793823242
0.026590092107653618,1.0,19,159,,
,,19,159,0.8216272592544556,0.5805000066757202
0.0242354404181242,1.0,20,167,,
,,20,167,0.8250226974487305,0.5802500247955322
0.02190530300140381,1.0,21,175,,
,,21,175,0.8276335597038269,0.5805000066757202
0.03298008814454079,1.0,22,183,,
,,22,183,0.8304731249809265,0.5804166793823242
0.025494199246168137,1.0,23,191,,
,,23,191,0.8336949348449707,0.5803333520889282
0.02149590663611889,1.0,24,199,,
,,24,199,0.8364251852035522,0.5804166793823242
0.0205916166305542,1.0,25,207,,
,,25,207,0.839245617389679,0.5802500247955322
0.019658293575048447,1.0,26,215,,
,,26,215,0.8418019413948059,0.5804166793823242
0.018700363114476204,1.0,27,223,,
,,27,223,0.8443465232849121,0.5803333520889282
0.020162291824817657,1.0,28,231,,
,,28,231,0.8468841314315796,0.5804166793823242
0.022847633808851242,1.0,29,239,,
,,29,239,0.8491892218589783,0.5803333520889282
0.020589658990502357,1.0,30,247,,
,,30,247,0.851462185382843,0.5803333520889282
0.01980932429432869,1.0,31,255,,
,,31,255,0.8537201881408691,0.5803333520889282
0.01676660217344761,1.0,32,263,,
,,32,263,0.8557562828063965,0.5803333520889282
0.01713775284588337,1.0,33,271,,
,,33,271,0.8579732179641724,0.5804166793823242
0.01661601848900318,1.0,34,279,,
,,34,279,0.8602297306060791,0.5805000066757202
0.01551819033920765,1.0,35,287,,
,,35,287,0.862235426902771,0.5805000066757202
0.015691770240664482,1.0,36,295,,
,,36,295,0.864274799823761,0.5803333520889282
0.017325488850474358,1.0,37,303,,
,,37,303,0.8663172721862793,0.5804166793823242
0.01490346621721983,1.0,38,311,,
,,38,311,0.8681843280792236,0.5804166793823242
0.012090599164366722,1.0,39,319,,
,,39,319,0.8700280785560608,0.5805000066757202
0.01375075988471508,1.0,40,327,,
,,40,327,0.8717820644378662,0.5804166793823242
0.015460433438420296,1.0,41,335,,
,,41,335,0.8734857439994812,0.5805000066757202
0.013708717189729214,1.0,42,343,,
,,42,343,0.8753566741943359,0.5802500247955322
0.016770148649811745,1.0,43,351,,
,,43,351,0.8770947456359863,0.5804166793823242
0.0151676619425416,1.0,44,359,,
,,44,359,0.8785696625709534,0.5805833339691162
0.010659011080861092,1.0,45,367,,
,,45,367,0.8803508281707764,0.5805833339691162
0.011088273487985134,1.0,46,375,,
,,46,375,0.8821555972099304,0.5805833339691162
0.013191675767302513,1.0,47,383,,
,,47,383,0.8836392164230347,0.5805000066757202
0.011352483183145523,1.0,48,391,,
,,48,391,0.8851603269577026,0.5805000066757202
0.010718125849962234,1.0,49,399,,
,,49,399,0.8866333961486816,0.5804166793823242
0.01125221885740757,1.0,50,407,,
,,50,407,0.8881858587265015,0.5804166793823242
0.010098803788423538,1.0,51,415,,
,,51,415,0.8896212577819824,0.5804166793823242
0.010535706765949726,1.0,52,423,,
,,52,423,0.8910787105560303,0.5805000066757202
0.0087158577516675,1.0,53,431,,
,,53,431,0.8924798369407654,0.5805000066757202
0.010663794353604317,1.0,54,439,,
,,54,439,0.8938259482383728,0.5803333520889282
0.010156301781535149,1.0,55,447,,
,,55,447,0.8952707648277283,0.5804166793823242
0.00913942325860262,1.0,56,455,,
,,56,455,0.8966209888458252,0.5805833339691162
0.012058698572218418,1.0,57,463,,
,,57,463,0.8978984355926514,0.5803333520889282
0.009969966486096382,1.0,58,471,,
,,58,471,0.8993547558784485,0.5803333520889282
0.009561442770063877,1.0,59,479,,
,,59,479,0.900742769241333,0.5803333520889282
0.007301774807274342,1.0,60,487,,
,,60,487,0.9019213318824768,0.5804166793823242
0.011090819723904133,1.0,61,495,,
,,61,495,0.9032366275787354,0.5804166793823242
0.01224556379020214,1.0,62,503,,
,,62,503,0.9044215679168701,0.5803333520889282
0.008779101073741913,1.0,63,511,,
,,63,511,0.9055905938148499,0.5804166793823242
0.009255554527044296,1.0,64,519,,
,,64,519,0.9068735241889954,0.5801666378974915
0.009320443496108055,1.0,65,527,,
,,65,527,0.9079772233963013,0.5804166793823242
0.009377055801451206,1.0,66,535,,
,,66,535,0.9092118144035339,0.5804166793823242
0.007855657488107681,1.0,67,543,,
,,67,543,0.9103639125823975,0.5805000066757202
0.007564750965684652,1.0,68,551,,
,,68,551,0.9114593863487244,0.5804166793823242
0.009011679328978062,1.0,69,559,,
,,69,559,0.9125824570655823,0.5805833339691162
0.0075546978041529655,1.0,70,567,,
,,70,567,0.9137809872627258,0.5805000066757202
0.007305523380637169,1.0,71,575,,
,,71,575,0.9148546457290649,0.5805000066757202
0.00795424822717905,1.0,72,583,,
,,72,583,0.9159019589424133,0.5805833339691162
0.008441346697509289,1.0,73,591,,
,,73,591,0.9169581532478333,0.5805833339691162
0.00800698809325695,1.0,74,599,,
,,74,599,0.9181489944458008,0.5804166793823242
0.008681940846145153,1.0,75,607,,
,,75,607,0.9191623330116272,0.5805000066757202
0.010801251046359539,1.0,76,615,,
,,76,615,0.9200929403305054,0.5805000066757202
0.008274535648524761,1.0,77,623,,
,,77,623,0.9211899638175964,0.5805000066757202
0.0071841697208583355,1.0,78,631,,
,,78,631,0.922190248966217,0.5805000066757202
0.006425109226256609,1.0,79,639,,
,,79,639,0.9231770038604736,0.5804166793823242
0.007748647592961788,1.0,80,647,,
,,80,647,0.9241860508918762,0.5802500247955322
0.00594899570569396,1.0,81,655,,
,,81,655,0.9251431226730347,0.5804166793823242
0.007062012795358896,1.0,82,663,,
,,82,663,0.9260667562484741,0.5804166793823242
0.006799585185945034,1.0,83,671,,
,,83,671,0.9269582629203796,0.5804166793823242
0.007140305824577808,1.0,84,679,,
,,84,679,0.9278591871261597,0.5803333520889282
0.006041516084223986,1.0,85,687,,
