train_loss,train_acc,epoch,step,val_loss,val_acc
0.6010357141494751,0.675000011920929,0,15,,
,,0,15,0.5768333673477173,0.7149166464805603
0.565391480922699,0.675000011920929,1,31,,
,,1,31,0.49303266406059265,0.7689999938011169
0.4380703568458557,0.800000011920929,2,47,,
,,2,47,0.5572571754455566,0.6899166703224182
0.380648672580719,0.8500000238418579,3,63,,
,,3,63,0.42424482107162476,0.812416672706604
0.40987324714660645,0.8125,4,79,,
,,4,79,0.4002855122089386,0.82833331823349
0.3491952419281006,0.8500000238418579,5,95,,
,,5,95,0.38213619589805603,0.8352500200271606
0.29938727617263794,0.887499988079071,6,111,,
,,6,111,0.3714597523212433,0.8453333377838135
0.41480106115341187,0.7875000238418579,7,127,,
,,7,127,0.3609919846057892,0.8505833148956299
0.3646901845932007,0.824999988079071,8,143,,
,,8,143,0.35249361395835876,0.8535000085830688
0.31376489996910095,0.8374999761581421,9,159,,
,,9,159,0.3573959469795227,0.8510833382606506
0.25636929273605347,0.8999999761581421,10,175,,
,,10,175,0.34836164116859436,0.8489999771118164
0.27660655975341797,0.8999999761581421,11,191,,
,,11,191,0.32669615745544434,0.8633333444595337
0.3354644179344177,0.862500011920929,12,207,,
,,12,207,0.36243531107902527,0.8480833172798157
0.9541150331497192,0.5625,13,223,,
,,13,223,1.1656475067138672,0.5660833120346069
0.2898297905921936,0.875,14,239,,
,,14,239,0.31794998049736023,0.8659166693687439
0.32780203223228455,0.862500011920929,15,255,,
,,15,255,0.3195340931415558,0.8670833110809326
0.21376200020313263,0.9125000238418579,16,271,,
,,16,271,0.3340255618095398,0.8570833206176758
0.19599470496177673,0.9375,17,287,,
,,17,287,0.3061071038246155,0.871833324432373
0.3124632239341736,0.8999999761581421,18,303,,
,,18,303,0.39170360565185547,0.8364166617393494
0.29274681210517883,0.887499988079071,19,319,,
,,19,319,0.2999557554721832,0.8759166598320007
0.1996242105960846,0.9125000238418579,20,335,,
,,20,335,0.3254719376564026,0.8610000014305115
0.2645278573036194,0.9125000238418579,21,351,,
,,21,351,0.3223363757133484,0.8627499938011169
0.24048323929309845,0.875,22,367,,
,,22,367,0.29582569003105164,0.878166675567627
0.21257856488227844,0.9375,23,383,,
,,23,383,0.3466615676879883,0.859250009059906
0.19755282998085022,0.925000011920929,24,399,,
,,24,399,0.31970101594924927,0.8680833578109741
0.14876656234264374,0.9750000238418579,25,415,,
