,norm,n_train,n_val,n_supp,train_acc,val_acc,radius
0,0.5997204283284133,51,1344,28,51.0,1108.0,13.744179581826355
1,0.6763499573996279,61,1477,42,61.0,1142.0,15.899230214396708
2,0.7059100499423087,69,1637,46,69.0,1307.0,15.520228997761683
3,0.6635138107788996,56,1507,38,56.0,1117.0,16.827878590553425
4,0.7243385872007496,60,1393,38,60.0,1079.0,14.755414211216236
5,0.7828377592189208,87,1830,50,87.0,1486.0,15.847013940955044
6,0.6634885925581386,67,1531,49,67.0,1153.0,16.280389154163622
7,0.5536981552392946,49,1281,40,49.0,1017.0,16.161990946354347
