,norm,n_train,n_val,n_supp,train_acc,val_acc,radius
0,0.21362952427698723,4,82,4,4.0,45.0,9.379843657541178
1,0.15892066790799697,8,76,8,8.0,58.0,11.492822666458228
2,0.13082386776166752,10,76,5,10.0,64.0,10.822628587326774
3,0.12552274459701576,3,30,3,3.0,20.0,11.740180680869566
4,0.10433337962415776,2,26,2,2.0,16.0,9.585573276728937
5,0.0,0,16,0,0.0,0.0,0.0
6,0.03972162526448928,2,29,2,2.0,18.0,10.311329078049388
7,0.0,0,13,0,0.0,0.0,0.0
8,0.03689155763723918,1,28,1,1.0,10.0,0.0
9,0.1415522823825911,4,59,4,4.0,31.0,10.60358390147666
10,0.03762832063575528,1,12,1,1.0,9.0,0.0
11,0.17248709693984857,6,39,6,6.0,22.0,13.43427385655261
12,0.11061007982320621,2,51,2,2.0,35.0,9.044401626570636
13,0.1461423072122946,3,64,3,3.0,43.0,9.735928600773404
14,0.10121369247241047,4,40,4,4.0,29.0,12.710473560267014
15,0.041099214437866204,3,50,3,3.0,26.0,10.95606891157644
16,0.2900786642107065,12,114,7,12.0,86.0,11.322220461006252
17,0.24336459209775121,8,102,8,8.0,63.0,11.587725377772037
18,0.0372835043975964,5,49,3,5.0,29.0,5.996299270161315
19,0.04075132844091612,2,54,2,2.0,43.0,10.870120733348044
20,0.04066390331364788,3,61,3,3.0,40.0,10.947910174836604
21,0.17384281880035152,4,35,4,4.0,28.0,10.448052817516908
22,0.17509519080213987,6,42,6,6.0,28.0,11.66817855514371
23,0.03948984605871688,3,25,3,3.0,19.0,9.355736569643684
24,0.04032685946493858,3,49,3,3.0,34.0,10.683825068870753
25,0.14402915071858544,3,49,3,3.0,30.0,12.065265372275155
26,0.0,0,5,0,0.0,0.0,0.0
27,0.037791434046612685,1,17,1,1.0,5.0,0.0
28,0.19893124937828224,8,51,8,8.0,41.0,12.556313408499493
29,0.17347455288205835,6,43,5,6.0,30.0,11.025661387968249
30,0.08702595768820832,2,19,2,2.0,10.0,11.493239310960664
31,0.03714763387977226,1,19,1,1.0,6.0,0.0
32,0.040963959979922374,2,32,2,2.0,17.0,11.636529247619881
