train_loss,train_acc,epoch,step,val_loss,val_acc
0.6606751680374146,0.6057692170143127,0,7,,
,,0,7,0.6790386438369751,0.5874166488647461
0.6218069791793823,0.682692289352417,1,15,,
,,1,15,0.6660264134407043,0.6088333129882812
0.6191607713699341,0.625,2,23,,
,,2,23,0.6561046838760376,0.6184166669845581
0.5735219120979309,0.7307692170143127,3,31,,
,,3,31,0.6425020694732666,0.6308333277702332
0.553374171257019,0.7403846383094788,4,39,,
,,4,39,0.6313194632530212,0.6412500143051147
0.5538066625595093,0.7307692170143127,5,47,,
,,5,47,0.6232839226722717,0.6484166383743286
0.49701595306396484,0.7788461446762085,6,55,,
,,6,55,0.6178657412528992,0.659416675567627
0.5168824791908264,0.7980769276618958,7,63,,
,,7,63,0.6069990992546082,0.6698333621025085
0.5353795289993286,0.7788461446762085,8,71,,
,,8,71,0.6000396013259888,0.6724166870117188
0.5227206349372864,0.75,9,79,,
,,9,79,0.5923243165016174,0.6792500019073486
0.5045420527458191,0.75,10,87,,
,,10,87,0.5865086913108826,0.6881666779518127
0.4482598304748535,0.817307710647583,11,95,,
,,11,95,0.5811116695404053,0.6890000104904175
0.4596997797489166,0.8461538553237915,12,103,,
,,12,103,0.5779399871826172,0.6928333044052124
0.4276321232318878,0.8269230723381042,13,111,,
,,13,111,0.572043240070343,0.6975833177566528
0.4528700113296509,0.7788461446762085,14,119,,
,,14,119,0.5649768710136414,0.7037500143051147
0.4399048089981079,0.875,15,127,,
,,15,127,0.5649086236953735,0.7019166946411133
0.36657053232192993,0.9134615659713745,16,135,,
,,16,135,0.5607331991195679,0.7078333497047424
0.4038373827934265,0.8653846383094788,17,143,,
,,17,143,0.5583416223526001,0.7090833187103271
0.3665682375431061,0.9134615659713745,18,151,,
,,18,151,0.5536555051803589,0.7095000147819519
0.4030626118183136,0.8269230723381042,19,159,,
,,19,159,0.5505955219268799,0.7139166593551636
0.40483394265174866,0.8653846383094788,20,167,,
,,20,167,0.5471810698509216,0.718500018119812
0.41748201847076416,0.8365384340286255,21,175,,
,,21,175,0.543964684009552,0.722000002861023
0.4040611982345581,0.8557692170143127,22,183,,
,,22,183,0.5415568947792053,0.7250833511352539
0.33624985814094543,0.9230769276618958,23,191,,
,,23,191,0.5376333594322205,0.7264999747276306
0.3719719350337982,0.9134615659713745,24,199,,
,,24,199,0.5377312302589417,0.7243333458900452
0.35999229550361633,0.8942307829856873,25,207,,
,,25,207,0.5368959307670593,0.7280833125114441
0.31423452496528625,0.9230769276618958,26,215,,
,,26,215,0.5334886312484741,0.7287499904632568
0.33225470781326294,0.942307710647583,27,223,,
,,27,223,0.5333455204963684,0.7276666760444641
0.308758407831192,0.9134615659713745,28,231,,
,,28,231,0.5297121405601501,0.7300000190734863
0.3334905803203583,0.932692289352417,29,239,,
,,29,239,0.5310712456703186,0.7294166684150696
0.32085373997688293,0.9134615659713745,30,247,,
,,30,247,0.5289880037307739,0.7303333282470703
0.30311310291290283,0.9519230723381042,31,255,,
,,31,255,0.5249400734901428,0.734333336353302
0.28235408663749695,0.9807692170143127,32,263,,
,,32,263,0.5228930115699768,0.737500011920929
0.31014344096183777,0.9230769276618958,33,271,,
,,33,271,0.5224853754043579,0.7365833520889282
0.2734464108943939,0.942307710647583,34,279,,
,,34,279,0.5203205347061157,0.7394166588783264
0.3068704903125763,0.9519230723381042,35,287,,
,,35,287,0.5185672044754028,0.7396666407585144
0.305022656917572,0.9519230723381042,36,295,,
,,36,295,0.52084881067276,0.7390833497047424
0.3669247031211853,0.8557692170143127,37,303,,
,,37,303,0.5183518528938293,0.7404999732971191
0.2609696686267853,0.9903846383094788,38,311,,
,,38,311,0.5174477696418762,0.7425833344459534
0.2701174020767212,0.932692289352417,39,319,,
,,39,319,0.5182892084121704,0.7409166693687439
0.2912884056568146,0.942307710647583,40,327,,
,,40,327,0.5166537761688232,0.7415000200271606
0.2612721920013428,0.9519230723381042,41,335,,
,,41,335,0.5166100859642029,0.7430833578109741
0.28702372312545776,0.9134615659713745,42,343,,
,,42,343,0.5141918063163757,0.7445833086967468
0.24564212560653687,0.9519230723381042,43,351,,
,,43,351,0.513437032699585,0.7449166774749756
0.2832721173763275,0.9615384340286255,44,359,,
,,44,359,0.5123178958892822,0.7454166412353516
0.27018973231315613,0.9519230723381042,45,367,,
,,45,367,0.5118290781974792,0.7465000152587891
0.24427005648612976,0.9807692170143127,46,375,,
,,46,375,0.5104050040245056,0.7462499737739563
0.24700362980365753,0.9807692170143127,47,383,,
,,47,383,0.5101058483123779,0.746916651725769
0.24964028596878052,0.942307710647583,48,391,,
,,48,391,0.5110751986503601,0.746916651725769
0.21991311013698578,0.9903846383094788,49,399,,
,,49,399,0.5098013281822205,0.747083306312561
0.27615657448768616,0.932692289352417,50,407,,
,,50,407,0.51019287109375,0.7480000257492065
0.21355441212654114,0.9807692170143127,51,415,,
,,51,415,0.5082815885543823,0.7493333220481873
0.20911958813667297,1.0,52,423,,
,,52,423,0.5078179240226746,0.75
0.20994915068149567,0.9615384340286255,53,431,,
,,53,431,0.5080652832984924,0.7486666440963745
0.266427606344223,0.9519230723381042,54,439,,
,,54,439,0.5078672170639038,0.7494999766349792
0.24786940217018127,0.9711538553237915,55,447,,
,,55,447,0.5065013766288757,0.7511666417121887
0.23898917436599731,0.9711538553237915,56,455,,
,,56,455,0.5051583051681519,0.7510833144187927
0.2287280410528183,0.9711538553237915,57,463,,
,,57,463,0.5046906471252441,0.7515833377838135
0.210099458694458,0.9711538553237915,58,471,,
,,58,471,0.5035022497177124,0.7515833377838135
0.21506959199905396,0.942307710647583,59,479,,
,,59,479,0.5037997961044312,0.7509999871253967
0.19434675574302673,1.0,60,487,,
,,60,487,0.504457414150238,0.7508333325386047
0.2169051170349121,0.9807692170143127,61,495,,
,,61,495,0.5040068626403809,0.7534166574478149
0.2355041354894638,0.9807692170143127,62,503,,
,,62,503,0.5046113133430481,0.752916693687439
0.20655089616775513,0.9903846383094788,63,511,,
,,63,511,0.5044872760772705,0.7540833353996277
0.2111254781484604,0.9711538553237915,64,519,,
,,64,519,0.5032820105552673,0.7537500262260437
0.23120704293251038,0.9711538553237915,65,527,,
,,65,527,0.50315922498703,0.7535833120346069
0.18554377555847168,0.9903846383094788,66,535,,
,,66,535,0.5033994317054749,0.753333330154419
0.20775510370731354,0.9807692170143127,67,543,,
,,67,543,0.5030268430709839,0.7534166574478149
0.19670310616493225,0.9711538553237915,68,551,,
,,68,551,0.5025699734687805,0.753166675567627
0.20071862637996674,0.9711538553237915,69,559,,
