train_loss,train_acc,epoch,step,val_loss,val_acc
0.9304305911064148,0.4913793206214905,0,3,,
,,0,3,1.1533669233322144,0.48750001192092896
0.740957498550415,0.6034482717514038,1,7,,
,,1,7,0.6381860971450806,0.6261666417121887
0.5374870300292969,0.8103448152542114,2,11,,
,,2,11,0.5668337345123291,0.7105000019073486
0.5410742163658142,0.7413793206214905,3,15,,
,,3,15,0.5421538352966309,0.7350833415985107
0.4707527160644531,0.818965494632721,4,19,,
,,4,19,0.5331124067306519,0.7335833311080933
0.659596860408783,0.5775862336158752,5,23,,
,,5,23,0.6206828355789185,0.6614999771118164
0.46527519822120667,0.7931034564971924,6,27,,
,,6,27,0.5309034585952759,0.7231666445732117
0.39952659606933594,0.8275862336158752,7,31,,
,,7,31,0.5252112746238708,0.750166654586792
0.5292446613311768,0.732758641242981,8,35,,
,,8,35,0.5303241610527039,0.746833324432373
0.41514235734939575,0.8620689511299133,9,39,,
,,9,39,0.4853833019733429,0.7585833072662354
0.3387206792831421,0.9051724076271057,10,43,,
,,10,43,0.4758259356021881,0.7802500128746033
0.3532767593860626,0.8534482717514038,11,47,,
,,11,47,0.4551830589771271,0.7839166522026062
0.4660206437110901,0.75,12,51,,
,,12,51,0.6058245897293091,0.6789166927337646
0.5016098022460938,0.75,13,55,,
,,13,55,0.5007984042167664,0.7477499842643738
0.35521310567855835,0.8620689511299133,14,59,,
,,14,59,0.45918431878089905,0.7894166707992554
0.3313976228237152,0.8275862336158752,15,63,,
,,15,63,0.44942089915275574,0.7950833439826965
0.40052828192710876,0.8362069129943848,16,67,,
,,16,67,0.4740584194660187,0.7822499871253967
0.31379666924476624,0.8706896305084229,17,71,,
,,17,71,0.44173696637153625,0.7994166612625122
0.3347591757774353,0.8534482717514038,18,75,,
,,18,75,0.4226393699645996,0.8046666383743286
0.2655065655708313,0.8879310488700867,19,79,,
,,19,79,0.42055830359458923,0.8096666932106018
0.243350088596344,0.9137930870056152,20,83,,
,,20,83,0.4170270264148712,0.8061666488647461
0.2678183913230896,0.8879310488700867,21,87,,
,,21,87,0.4132041931152344,0.8119166493415833
0.2470230609178543,0.931034505367279,22,91,,
,,22,91,0.4401317238807678,0.7889166474342346
0.25612249970436096,0.8879310488700867,23,95,,
,,23,95,0.4116137623786926,0.8125
