,norm,n_train,n_val,n_supp,train_acc,val_acc,radius
0,0.16373908501608095,6,293,5,6.0,246.0,12.927578318291605
1,0.31547553096465086,18,370,15,18.0,292.0,13.743174859704045
2,0.1737545623156511,13,295,10,13.0,251.0,12.208813390639357
3,0.15268186967245734,7,176,6,7.0,108.0,12.846635277622429
4,0.19870642078620016,8,363,7,8.0,256.0,12.173909900417978
5,0.4127090155164682,29,507,24,29.0,330.0,14.399878629627686
6,0.213937679992401,9,349,9,9.0,240.0,12.652280328476545
7,0.31324621286885995,20,490,17,20.0,325.0,15.108950729730132
8,0.2985440297167017,16,273,16,16.0,215.0,14.651332224217805
9,0.2262726322275909,11,241,11,11.0,173.0,14.632611914595406
10,0.25795940789958055,19,529,12,19.0,412.0,12.827044806330335
11,0.22553048255575742,10,293,9,10.0,239.0,13.198136304910163
12,0.28882949277141695,14,293,13,14.0,201.0,13.366352683178086
13,0.18175251953084193,9,301,9,9.0,162.0,14.986648781082648
14,0.30325930309077326,19,676,15,19.0,517.0,15.101041301700445
15,0.34670913107647916,27,569,17,27.0,505.0,15.1031146767047
16,0.30614277872472606,20,543,17,20.0,475.0,14.6428685219648
17,0.5585508253274424,30,649,24,30.0,533.0,14.530409992616265
18,0.19534909311347912,13,343,10,13.0,254.0,13.122746149889107
19,0.2171896224991829,12,279,12,12.0,221.0,13.864968468514073
20,0.041696419285687375,8,282,5,8.0,172.0,12.165777288168847
21,0.4422563343480848,28,566,23,28.0,409.0,14.826946334155066
22,0.2767162202439367,14,258,12,14.0,186.0,13.485931889711345
23,0.2833869041171699,15,320,13,15.0,237.0,14.018520170912957
24,0.259856918639574,14,331,14,14.0,255.0,15.300930902224632
25,0.2692496372804425,20,481,16,20.0,389.0,15.379184123989976
26,0.3318172036985662,25,564,22,25.0,479.0,16.451216106441013
27,0.23386940879406823,10,300,9,10.0,173.0,13.948712562743836
28,0.2677080052625566,11,194,10,11.0,98.0,15.351302419017253
29,0.1468974000330909,7,206,6,7.0,140.0,14.539738660442158
30,0.3999679221547045,28,413,26,28.0,307.0,15.354413922585959
31,0.16955333527760988,10,253,8,10.0,161.0,14.641559450667792
