train_loss,train_acc,epoch,step,val_loss,val_acc
0.622132420539856,0.625,0,15,,
,,0,15,0.6028117537498474,0.6860833168029785
0.612451434135437,0.6499999761581421,1,31,,
,,1,31,0.5665817260742188,0.7161666750907898
0.5056256651878357,0.7749999761581421,2,47,,
,,2,47,0.5279861092567444,0.7422500252723694
0.5480109453201294,0.675000011920929,3,63,,
,,3,63,0.49960580468177795,0.7773333191871643
0.4234393239021301,0.824999988079071,4,79,,
,,4,79,0.4820826053619385,0.7749999761581421
0.37332239747047424,0.862500011920929,5,95,,
,,5,95,0.46055692434310913,0.7904999852180481
0.3902248740196228,0.875,6,111,,
,,6,111,0.4510762393474579,0.79708331823349
0.42288321256637573,0.8374999761581421,7,127,,
,,7,127,0.45407190918922424,0.7941666841506958
0.4266814589500427,0.824999988079071,8,143,,
,,8,143,0.44052690267562866,0.809166669845581
0.3581535518169403,0.887499988079071,9,159,,
,,9,159,0.4318864643573761,0.8081666827201843
0.3527488112449646,0.8999999761581421,10,175,,
,,10,175,0.4324149489402771,0.8147500157356262
0.3365176320075989,0.875,11,191,,
,,11,191,0.42864659428596497,0.8059999942779541
0.36630892753601074,0.8125,12,207,,
,,12,207,0.414061576128006,0.8205833435058594
0.3829793930053711,0.8374999761581421,13,223,,
,,13,223,0.4103524088859558,0.8218333125114441
0.35726454854011536,0.875,14,239,,
,,14,239,0.40993207693099976,0.8205000162124634
0.38841474056243896,0.8374999761581421,15,255,,
,,15,255,0.40428125858306885,0.8228333592414856
0.41837644577026367,0.7875000238418579,16,271,,
,,16,271,0.4031502604484558,0.8223333358764648
0.30077728629112244,0.9125000238418579,17,287,,
,,17,287,0.40196073055267334,0.8239166736602783
0.408378928899765,0.8374999761581421,18,303,,
,,18,303,0.3994130790233612,0.828083336353302
0.3645983636379242,0.887499988079071,19,319,,
,,19,319,0.39801323413848877,0.8253333568572998
0.21775110065937042,0.9624999761581421,20,335,,
,,20,335,0.39745503664016724,0.8269166946411133
0.31621286273002625,0.887499988079071,21,351,,
,,21,351,0.3892230689525604,0.8300833106040955
0.35537680983543396,0.8500000238418579,22,367,,
,,22,367,0.3897608518600464,0.828416645526886
0.2448738068342209,0.9375,23,383,,
,,23,383,0.3948286473751068,0.8259999752044678
0.3108536899089813,0.862500011920929,24,399,,
,,24,399,0.38872793316841125,0.8308333158493042
0.2681693732738495,0.9125000238418579,25,415,,
,,25,415,0.386483371257782,0.8334166407585144
0.2767845392227173,0.875,26,431,,
,,26,431,0.3856590986251831,0.831083357334137
0.299612432718277,0.887499988079071,27,447,,
,,27,447,0.38358455896377563,0.8333333134651184
0.38912254571914673,0.8374999761581421,28,463,,
,,28,463,0.39283254742622375,0.82791668176651
0.2430277317762375,0.8999999761581421,29,479,,
,,29,479,0.38030681014060974,0.8339166641235352
0.255960077047348,0.9375,30,495,,
,,30,495,0.38296744227409363,0.8346666693687439
0.30569881200790405,0.875,31,511,,
,,31,511,0.3802439868450165,0.8379166722297668
0.2534159719944,0.925000011920929,32,527,,
,,32,527,0.3812062442302704,0.8379166722297668
0.29838722944259644,0.9125000238418579,33,543,,
,,33,543,0.3770306408405304,0.8351666927337646
0.22672922909259796,0.925000011920929,34,559,,
,,34,559,0.3765594959259033,0.8372499942779541
0.22913415729999542,0.925000011920929,35,575,,
,,35,575,0.37995991110801697,0.8349999785423279
0.2522495687007904,0.9125000238418579,36,591,,
,,36,591,0.3775339722633362,0.8355000019073486
0.2627376914024353,0.8999999761581421,37,607,,
,,37,607,0.3777602016925812,0.8398333191871643
0.2843187749385834,0.949999988079071,38,623,,
,,38,623,0.3786429762840271,0.8388333320617676
0.2777773439884186,0.9125000238418579,39,639,,
,,39,639,0.3764100670814514,0.8376666903495789
0.2639710009098053,0.9125000238418579,40,655,,
,,40,655,0.3781841993331909,0.8371666669845581
0.2196568250656128,0.949999988079071,41,671,,
,,41,671,0.3762931227684021,0.8392500281333923
0.19615893065929413,0.9624999761581421,42,687,,
,,42,687,0.37462785840034485,0.840416669845581
0.2413681000471115,0.9125000238418579,43,703,,
,,43,703,0.37284550070762634,0.8428333401679993
0.20161941647529602,0.949999988079071,44,719,,
,,44,719,0.3720610737800598,0.8417500257492065
0.20248174667358398,0.9375,45,735,,
,,45,735,0.37136927247047424,0.8418333530426025
0.22113195061683655,0.9125000238418579,46,751,,
,,46,751,0.37177780270576477,0.8415833115577698
0.21946218609809875,0.925000011920929,47,767,,
,,47,767,0.37099653482437134,0.8419166803359985
0.2193920612335205,0.949999988079071,48,783,,
,,48,783,0.37036842107772827,0.8416666388511658
0.2732625901699066,0.8999999761581421,49,799,,
,,49,799,0.37489283084869385,0.8418333530426025
0.3074309229850769,0.9125000238418579,50,815,,
,,50,815,0.37451374530792236,0.8386666774749756
0.23388007283210754,0.9125000238418579,51,831,,
,,51,831,0.37461984157562256,0.8414166569709778
0.19569921493530273,0.9125000238418579,52,847,,
,,52,847,0.3784782290458679,0.8368333578109741
0.23318593204021454,0.8999999761581421,53,863,,
,,53,863,0.36859509348869324,0.843666672706604
0.2607288360595703,0.887499988079071,54,879,,
