train_loss,train_acc,epoch,step,val_loss,val_acc
0.7454294562339783,0.6206896305084229,0,3,,
,,0,3,1.1695955991744995,0.512416660785675
0.6881921887397766,0.6293103694915771,1,7,,
,,1,7,0.6386888027191162,0.7070000171661377
0.45893579721450806,0.8103448152542114,2,11,,
,,2,11,0.6130297183990479,0.7487499713897705
0.5317204594612122,0.767241358757019,3,15,,
,,3,15,0.5584313273429871,0.7796666622161865
0.5466499924659729,0.7413793206214905,4,19,,
,,4,19,0.5018876791000366,0.8006666898727417
0.4824945330619812,0.8103448152542114,5,23,,
,,5,23,0.5472383499145508,0.7571666836738586
0.5424547791481018,0.767241358757019,6,27,,
,,6,27,0.580228328704834,0.7460833191871643
0.32676827907562256,0.8448275923728943,7,31,,
,,7,31,0.4996879994869232,0.7869166731834412
0.3760339915752411,0.818965494632721,8,35,,
,,8,35,0.4858695864677429,0.7997499704360962
0.4581329822540283,0.7931034564971924,9,39,,
,,9,39,0.6216830015182495,0.7368333339691162
0.3330107629299164,0.8362069129943848,10,43,,
,,10,43,0.5264249444007874,0.7735000252723694
0.3622170686721802,0.8275862336158752,11,47,,
,,11,47,0.5750504732131958,0.7544999718666077
0.2759130299091339,0.8706896305084229,12,51,,
,,12,51,0.6756107807159424,0.7168333530426025
0.31258586049079895,0.8620689511299133,13,55,,
,,13,55,0.5008182525634766,0.7905833125114441
0.44446438550949097,0.7931034564971924,14,59,,
,,14,59,0.6165544986724854,0.7516666650772095
0.32144731283187866,0.8448275923728943,15,63,,
,,15,63,0.5821613073348999,0.7649999856948853
0.35108089447021484,0.8534482717514038,16,67,,
,,16,67,0.5746704339981079,0.7701666951179504
0.5288192629814148,0.7844827771186829,17,71,,
,,17,71,0.6144426465034485,0.7590000033378601
0.38473352789878845,0.818965494632721,18,75,,
,,18,75,0.645293116569519,0.7537500262260437
0.3140503466129303,0.8448275923728943,19,79,,
,,19,79,0.6074597835540771,0.7678333520889282
0.2673807144165039,0.8534482717514038,20,83,,
,,20,83,0.5223531126976013,0.7910000085830688
0.2510606646537781,0.9224137663841248,21,87,,
,,21,87,0.5134052038192749,0.7934166789054871
0.2415992021560669,0.8965517282485962,22,91,,
,,22,91,0.5456390976905823,0.777916669845581
0.32041695713996887,0.8275862336158752,23,95,,
,,23,95,0.58165043592453,0.7638333439826965
0.2057933360338211,0.9224137663841248,24,99,,
,,24,99,0.5822737812995911,0.765333354473114
0.19672177731990814,0.931034505367279,25,103,,
,,25,103,0.5568581223487854,0.7750833630561829
